,abstract,affiliation,authors,paper_type,subject,title
10,"Head Related Transfer Functions (HRTFs) are typically measured with loudspeakers facing the listener. Therefore, it is assumed that loudspeaker directivity to the left and the right ear is equal. However, in practice the directivity to both ears may not be equal. For instance, differences can be caused by changes to a listener’s location or uncommon loudspeaker driver orientations. This paper discusses the effect of binaural difference in directivity of loudspeaker on spatial audio processing and proposes an efficient solution that improves the spatial effect by compensating the directivity difference. Subjective evaluation is conducted to measure the performance of the proposed solution.","['Xperi/DTS, Santa Ana, CA, USA', ' XPERI/DTS, Calabasas, CA, USA(See document for exact affiliation information.)']","['Noh, Daekyoung', ' Walker, Oveal']",Talk,Spatial Audio,Effect of Binaural Difference in Loudspeaker Directivity on Spatial Audio Processing
11,"The Android “P” Audio Framework’s new Dynamics Processing Effect (DPE) in Android Open Source Project (AOSP), provides developers with controls to fine-tune the audio experience using several stages of equalization, multi-band compressors, and linked limiters. The API allows developers to configure the DPE’s multichannel architecture to exercise real-time control over thousands of audio parameters. This talk additionally discusses the design and use of DPE in the recently announced Sound Amplifier accessibility service for Android and outlines other uses for acoustic compensation and hearing applications.","['Google, Mountain View, CA, USA']","['Garcia, Ricardo']",Talk,Signal Processing,The New Dynamics Processing Effect in Android Open Source Project
12,"Object-based audio has great capacity for production and delivery of adaptive and personalizable content. This can be used to improve the accessibility of complex content for listeners with hearing impairments. An adaptive object-based audio system was used to make mix changes enabling listeners to balance narrative comprehension against immersion using a single dial. Performance was evaluated by focus groups of 12 hearing impaired participants who gave primarily positive feedback. An experienced sound designer also evaluated the function of the control and process for authoring the necessary metadata establishing that the control facilitated a clearer narrative while maintaining mix quality. In future work the algorithm, production tools, and interface will be refined based on the feedback received.","['University of Salford, Salford, UK', ' BBC Research and Development, Salford, UK(See document for exact affiliation information.)']","['Ward, Lauren', ' Shirley, Ben', ' Francombe, Jon']",Talk,Spatial Audio,Accessible Object-Based Audio Using Hierarchical Narrative Importance Metadata
13,"Recent progresses made in the nonlinear system identification field have improved the ability to emulate nonlinear audio systems such as tube guitar amplifiers. As a straightforward comparison of different models cannot always be made, we propose a new reference dataset enabling to highlight the strengths and weaknesses of different nonlinear modeling methods. Our dataset gathers five different styles of guitar sounds passing through different guitar amplifiers with 10 steps of their gain parameter (i.e., the distortion level of the amplifier). Moreover, a Matlab function is also provided to obtain the desired input/output sounds in a matrix form.","['University of Liege, Liege, Belgium']","['Schmitz, Thomas', ' Embrechts, Jean-Jacques']",Poster,Applications in Audio,Introducing a Dataset of Guitar Amplifier Sounds for Nonlinear Emulation Benchmarking
14,"Spatial microphones are used to acquire sound scenes, while spot microphones are commonly used to acquire individual sound sources with high quality. These recordings are essential when producing spatial audio upmixes. However, to automatically create upmixes, or to assist audio engineers in creating these, information about the position of the sources in the scene is also required. We propose a supervised sound source localization method to estimate the direction-of-arrival (DOA) of several simultaneously active sound sources in reverberant and noisy environments that utilizes several spot microphones and a single spatial microphone. The proposed method employs system identification techniques to estimate the relative impulse responses between each spot microphone and the spatial microphone from which the DOAs can be extracted.","['International Audio Laboratories Erlangen, Erlangen, Germany']","['Ibáñez Calvo, Miguel', ' Luis Valero, Maria', ' Habets, Emanuël A. P.']",Talk,Semantic Audio,Supervised Source Localization Using Spot Microphones
15,"This paper presents an extension of the standing-wave model of interference tubes for microphones by Ono et al. The original model accounts for three acoustic parameters: tube length, tube radius, and constant acoustic conductance per unit length. Our extension allows a varying conductance per unit length along the side wall. The assumptions behind the extended model and its ability to predict the frequency response of interference tubes are validated through simulations and by fitting the model parameters to frequency response measurements of a tube with varying conductance per unit length, using two different mountings. Results suggest that a tube with varying conductance per unit length is most effective at attenuating the off-axis sound if the conductance per unit length is decreased towards the tail end of the tube.","['Aalborg University, Copenhagen, Denmark', ' Technical University of Denmark, Kgs. Lyngby, Denmark', ' EBB-consult, Smørum, Denmark', ' DPA Microphones, Allerød, Denmark(See document for exact affiliation information.)']","['Bigoni, Francesco', ' Agerkvist, Finn T.', ' Brixen, Eddy Bøgh']",Talk,Transducers,A Stepped Acoustic Transmission Line Model of Interference Tubes for Microphones
16,"In mixed reality (MR) applications, digital audio objects are rendered via an acoustically transparent playback system to blend with the physical surroundings of the listener. This requires a binaural simulation process that perceptually matches the reverberation properties of the local environment, so that virtual sounds are not distinguishable from real sounds emitted around the listener. In this paper we propose an acoustic scene programming model that allows pre-authoring the behaviors and trajectories of a set of sound sources in a MR audio experience, while deferring to rendering time the specification of the reverberation properties of the enclosing room.","['Magic Leap, Inc., San Francisco, CA, USA']","['Audfray, Rémi', ' Jot, Jean-Marc', ' Dicker, Sam']",Talk,Spatial Audio,Audio Application Programming Interface for Mixed Reality
17,"Mixing down signals of a multichannel con?guration into a format with fewer channels is widely used in many areas of audio coding, production, and recording. Commonly used downmix methods are based on fixed downmix coefficients or mixing equations. Experience has shown that these passive methods cause quality losses in terms of speech intelligibility, vocal/instrumental clarity, and timbre-changes. In this paper a novel method is introduced that addresses these problems. The method aims to preserve the energy of the input signals during the downmix. In doing so, magnitude and phase are retrieved from two different approaches and combined afterwards. A listening test was conducted. The results prove that the introduced method has a significant positive effect on the aforementioned quality aspects.","['Fraunhofer Institute for Integrated Circuits IIS, Erlangen, Germany']","['Karapetyan, Aleksandr', ' Fleischmann, Felix', ' Plogsties, Jan']",Talk,Recording and Production,Active Multichannel Audio Downmix
18,"Dynamic range compression (DRC) is a very commonly used audio effect. One use of DRC is to emphasize transients in an audio signal. The aim of this paper is to present an approach for automatically setting dynamic range compression timing parameters, adaptively, allowing parameters to adapt to the incoming audio signal, with the aim of emphasizing transients within percussive audio tracks. An implementation approach is presented.","['Queen Mary University of London, London, UK']","['Moffat, Dave', ' Sandler, Mark']",Poster,Applications in Audio,Adaptive Ballistics Control of Dynamic Range Compression for Percussive Tracks
19,"In this paper we propose a deep learning-based MVDR beamforming weight estimation method. The MVDR beamforming weight can be estimated based on deep learning using GCC-PHAT without the information on the source location, while the MVDR beamforming weight requires information on the source location. As a result of an experiment with REVERB challenge data, the root mean square error between the estimated weight and the MVDR weight was found to be 0.32.","['Gwangju Institute of Science and Technology  (GIST), Gwangju, Korea', ' Artificial Intelligence Research Center, Korea Electronics Technology Institute (KETI), Sungnam, Korea(See document for exact affiliation information.)']","['Jo, Moon Ju', ' Lee, Geon Woo', ' Moon, Jung Min', ' Cho, Choongsang', ' Kim, Hong Kook']",Talk,Acoustics and Signal Processing,Estimation of MVDR Beamforming Weights Based on Deep Neural Network
20,"Subjective experiments are a cornerstone of modern research with a variety of tasks being undertaken by subjects. In the field of audio, subjective listening tests provide validation for research and aid fair comparison between techniques or devices such as coding performance, speakers, mixes, and source separation systems. Several interfaces have been designed to mitigate biases and to standardize procedures, enabling indirect comparisons. The number of different combinations of interface and test design make it extremely difficult to conduct a truly unbiased listening test. This paper resolves the largest of these variables by identifying the impact the interface itself has on a purely auditory test. This information is used to make recommendations for specific categories of listening tests.","['Birmingham City University, Birmingham, UK', ' Queen Mary University of London, London, UK(See document for exact affiliation information.)']","['Jillings, Nicholas', ' De Man, Brecht', ' Stables, Ryan', ' Reiss, Joshua D.']",Talk,Perception,Investigation into the Effects of Subjective Test Interface Choice on the Validity of Results
21,"Media Device Orchestration (MDO) makes use of interconnected devices to augment a reproduction system, and could be used to deliver more immersive audio experiences to domestic audiences. To investigate optimal rendering on an MDO-based system, stimuli were created via: (1) object-based audio (OBA) mixes undertaken in a reference listening room; and (2) up to 13 rendered versions of these employing a range of installed and ad-hoc loudspeakers with varying cost, quality, and position. The program items include audio-visual material (short ?lm trailer and big band performance) and audio-only material (radio panel show, pop track, football match, and orchestral performance). The object-based program items and alternate MDO con?gurations are made available for testing and demonstrating OBA systems.","['University of Surrey, Guildford, Surrey, UK', ' BBC Research and Development, Salford, UK(See document for exact affiliation information.)']","['Cieciura, Craig', ' Mason, Russell', ' Coleman, Philip', ' Paradis, Matthew']",Poster,Recording and Production,Creating Object-Based Stimuli to Explore Media Device Orchestration Reproduction Techniques
22,"Hearing loss is a common problem in old people. Nowadays hearing aids compensate these losses and make their life better, but they present some important issues (reduced battery life, requirement of real-time processing). Because of that, the algorithms implemented in these devices must work at low clock rates. Voice Activity Detection (VAD) is one of the main algorithms used in hearing aids, since it is useful for reducing the environmental noise and enhancing the speech intelligibility. In this paper a VAD algorithm will be tested using QUT-NOISE-TIMIT Corpus, with different computational cost constraints and at different locations.","['University of Alcalá, Alcalá de Henares, Madrid, Spain']","['García-Gómez, Joaquín', ' Mohíno-Herranz, Inma', ' Clares-Crespo, César', ' Fernández-Toloba, Alfredo', ' Gil-Pita, Roberto']",Talk,Perception,Analysis of the performance of Evolved Frequency Log-Energy Coefficients in Hearing Aids for different Cost Constraints and Scenarios
23,"Acoustic event classification is of interest for various audio applications. The aim of this paper is to investigate the usage of a number of speech and audio based features in the task of acoustic event classification. Several features that originate from audio signal analysis are compared with features typically used in speech processing such as mel-frequency cepstral coefficients (MFCCs). In addition, the approaches to fuse the information obtained from multichannel recordings of an acoustic event are investigated. Experiments are performed using a Gaussian mixture model (GMM) classifier and audio signals recorded using several scattered microphones.","['AGH University of Science and Technology, Kraków, Poland']","['Krause, Daniel', ' Kowalczyk, Konrad']",Talk,Semantic Audio,Multichannel Fusion and Audio-Based Features for Acoustic Event Classification
24,"Based on the higher order Ambisonics theory, a loudspeaker-based room auralization system was implemented in this paper in combination with a room acoustics computer model. In the decoding part of the Ambisonics technique, the generally used mode-matching decoding method requires a uniformly arranged loudspeaker array, which sometimes cannot be satisfied. A recently proposed method, the matching projection decoding method, which can solve this problem, was introduced in the room auralization system to realize reproduction of room re-verberation with non-uniform loudspeaker arrays. Moreover, the performance of the matching projection method was evaluated objectively through room impulse response reconstruction analysis. Besides, the room auralization system is validated through subjective experiments.","['Peking University, Beijing, China', ' AES (Beijing) Science & Technology Co., Ltd., Beijing, China(See document for exact affiliation information.)']","['Ge, Zhongshu', ' Qiao, Yue', ' Wang, Shusen', ' Wu, Xihong', ' Qu, Tianshu']",Talk,Spatial Audio,Subjective Evaluation of Virtual Room Auralization System Based on the Ambisonics Matching Projection Decoding Method
25,"Spatial audio implementations with binaural playback benefit from personalized HRTF sets. Thus access to an efficient procedure for capturing individual Head Related Transfer Functions (HRTF) is beneficial for media production as well as for research and development in the ?eld. In the newly established Immersive Audio Lab at Hamburg University of Applied Sciences we implemented a fast HRTF measurement procedure in a 33-channel loudspeaker dome, utilizing the Multiple Exponential Sweep Method (MESM) introduced by Majdak, Balazs, and Laback [1]. One measurement of about 4 minutes results in a set of 289 discrete HRIRs, covering 360° in the horizontal plane and roughly -15°...90° elevation.","['Austrian Academy of Sciences, Vienna, Austria', ' Hamburg University of Applied Sciences, Hamburg, Germany(See document for exact affiliation information.)']","['Chevalier, Noé Philip', ' Majdak, Piotr', ' Wilk, Eva', ' Görne, Thomas']",Poster,Spatial Audio,Rapid HRTF Measurement in a Loudspeaker Dome
26,"The paper describes effective use of 4-pi (all directional) acoustical information of reverberation for post-production works. Measurement and analysis technique of sound intensities, VSV(Virtual Source Visualizer), is used for capturing 4-pi reverberations, and the obtained reverberations, VSVerb, are mapped on audio tracks of a DAW. In order to obtain precise rendering of spatial characteristics of the VSVerb, it is ideal to assign one object track to one reflection component. However, Dolby Atmos has the number of reflections restricted to 118. According to the hearing impressions by the authors show this restriction is impractical. This paper proposes a practical method to balance objects’ and beds’ tracks with less auditory deterioration.","['SONA Co., Tokyo-to, Japan', ' be Blue Co ., Minato-ku, Tokyo, Japan(See document for exact affiliation information.)']","['Matsuo, Akiho', ' Tsuchikura, Ritsuko', ' Takino, Masumi', ' Nakahara, Masataka']",Poster,Recording and Production,Implementation of 4-pi Reverberation Effects in Immersive Sound Contents—Balance of Object-Based Tracks and Channel-Based Tracks
27,"One of the challenges of virtual reality technology is to provide convincing sensory information to users, to give the illusion of presence within the virtual environment. Audio-visual input combined with self-motion is a step beyond traditional cinematic content, whereby the audio renderer must accommodate a limitless number of potential user interactions and movements within an acoustic ?eld. In this e-Brief a framework for an online (real-time) 6 degrees-of-freedom evaluation platform is detailed. The platform allows psychoacoustic research and subjective testing of binaural audio renderers for virtual reality applications and ?nds application in the development of the MPEG-I Audio Standard.","['International Audio Laboratories Erlangen, Erlangen, Germany']","['Robotham, Thomas', ' Rummukainen, Olli', ' Herre, Jürgen', ' Habets, Emanuël A. P.']",Poster,Spatial Audio,Evaluation of Binaural Renderers in Virtual Reality Environments: Platform and Examples
28,"Binaural rendering is a technology for spatialized sound that can be advantageously coupled with the visual of a mobile phone. By rendering the auditory scene out of the screen, all around the user, it is a potentially powerful tool of immersion. However, this audio-visual association may lead to specific perception artifacts. One of them is the ventriloquist effect, i.e., the perception of a sound and an image as they come from the same location, while they are actually at different places. We investigate the conditions of this effect to occur using an experimental method called Point of Subjective Spatial Alignment (PSSA). Given the position of a visual stimulus, we determine the integration window, i.e., the range of locations in the horizontal plane where auditory stimulus is perceived as matching the visual stimulus location. Several parameters are varied: semantic type of the stimuli (neutral or meaningful) and sound elevation (same elevation as the visual or above subject’s head). Results reveal the existence of an integration window in all cases. But, surprisingly, the sound is attracted by the visual as located in the virtual scene, rather than its real location on screen. We interpret it as a mark of immersion. Besides, we observe that integration window is not altered by elevation, provided that stimuli are semantically meaningful.","['CNAM (CEDRIC), Paris, France', ' Orange Labs, Lannion, France', ' IRCAM - CNRS, Paris, France(See document for exact affiliation information.)']","['Moreira, Julian', ' Gros, Laetitia', ' Nicol, Rozenn', ' Viaud-Delmon, Isabelle']",Talk,Spatial Audio,Spatial Auditory-Visual Integration: The Case of Binaural Sound on a Smartphone
29,"Approximately 12–15% of the population has a noticeable hearing loss and would benefit from a hearing aid or some form of assistive listening system. However, it is not generally appreciated that hearing aids have a limited operating distance and so are often used in conjunction with an assistive listening system. In recent years, as disability legislation has strengthened, the number of Assistive Listening System installations has dramatically increased, yet there is little guidance or standards available concerning the electroacoustic performance that these systems should meet. The paper reports novel research findings into the acoustic effectiveness of both hearing aids and assistive listening systems, reviews current and upcoming technologies, and sets out a number of potential performance guidelines and criteria.","['Peter Mapp Associates, Colchester, Essex, UK']","['Mapp, Peter']",Talk,Acoustics and Live Sound,Performance and Installation Criteria for Assistive Listening Systems
30,"22.2 multichannel sound (22.2 ch sound) is currently broadcast using MPEG-4 Advanced Audio Coding (AAC) in 8K Super Hi-Vision broadcasting in Japan. The use of MPEG-4 AAC for contribution and distribution transmissions is also planned. Contribution and distribution transmissions require sufficient audio quality to withstand repeated coding and decoding processes. In this study the bit rate of MPEG-4 AAC for a 22.2 ch sound signal satisfying tandem transmission quality was investigated by the subjective evaluation specified in Recommendation ITU-R BS.1116-3. The basic audio quality of 72 stimuli made from a combination of 6 bit rates, 3 different numbers of tandems, and 4 contents were evaluated by 28 listeners. The required bit rates of 22.2 sound material transmission for 3, 5, and 7 tandems were concluded to be 96, 144, and 160 kbit/s per channel, respectively.","['NHK Science & Technology Research Laboratories, Tokyo, Japan', ' Japan Television Network Corporation, Tokyo, Japan(See document for exact affiliation information.)']","['Kitajima, Shu', ' Sugimoto, Takehiro', ' Oode, Satoshi', ' Komori, Tomoyasu', ' Urano, Joji']",Talk,Spatial Audio,Required Bit Rate of MPEG-4 AAC for 22.2 Multichannel Sound Contribution and Distribution
31,"Sound field recording with arrays made of omnidirectional microphones suffers from an ill-conditioned problem due to the zero and small values of the spherical Bessel function. This article proposes a geometric design of a microphone array for broadband two dimensional (2D) sound field recording and reproduction. The design is parametric, with a layout having a discrete rotationally symmetric geometry composed of several geometrically similar subarrays. The actual parameters of the proposed layout can be determined for various acoustic situations to give optimized results. This design has the advantage that it simultaneously satisfies many important requirements of microphone arrays such as error robustness, operating bandwidth, and microphone unit efficiency.","['Sony Corporation, Tokyo, Japan']","['Liao, Wei-Hsiang', ' Mitsufuji, Yuki', ' Osako, Keiichi', ' Ohkuri, Kazunobu']",Talk,Recording and Production,Microphone Array Geometry for Two Dimensional Broadband Sound Field Recording
32,"Acoustic design of performance spaces often places the performer relatively low in the hierarchy of needs in comparison to the quality of sound for an audience, and while there are a number of studies relating to solo performers’ and symphony orchestras preferred acoustic environments, there is a paucity of literature on objective measurements of the impact of acoustic spaces on smaller ensembles. This study aims to build a methodology for analysis of changes in ensemble musical expression caused by different acoustic environments and extends previous research in the area of acoustics and musical performance.","['Queen Mary University of London, London, UK']","['Weaver, James', ' Barthet, Mathieu', ' Chew, Elaine']",Talk,Acoustics and Live Sound,Analysis of Piano Duo Tempo Changes in Varying Convolution Reverberation Conditions
33,"This work proposes a new type of compression driver based on an annular flexural diaphragm and a topology that combines part of the diaphragm radiating directly into the horn and the other part loaded by a side-firing compression chamber. This configuration’s design is very simple compared to its predecessors. Acoustical theory, numerical simulations, matrix electrical-mechanical-acoustical model, and the results of real transducer measurements substantiate the new design. The new driver provides performance on par with more complex transducers of a similar format.","['JBL/Harman Professional Solutions, Northridge, CA, USA']","['Voishvillo, Alexander']",Talk,Transducers,Horn Driver Based on Annular Diaphragm and the Side-Firing Compression Chamber
34,"Since early perceptual audio coders such as mp3, the underlying psychoacoustic model that controls the encoding process has not undergone many dramatic changes. Meanwhile, modern audio coders have been equipped with semi-parametric or parametric coding tools such as audio bandwidth extension. Thereby, the initial psychoacoustic model used in a perceptual coder, just considering added quantization noise, became partly unsuitable. We propose the use of an improved psychoacoustic excitation model based on an existing model proposed by Dau et al. in 1997. This modulation-based model is essentially independent from the input waveform by calculating an internal auditory representation. Using the example of MPEG-H 3D Audio and its semi-parametric Intelligent Gap Filling (IGF) tool, we demonstrate that we can successfully control the IGF parameter selection process to achieve overall improved perceptual quality.","['University of Oldenburg, Oldenburg, Germany', ' Fraunhofer Institute for Integrated Circuits IIS, Erlangen, Germany', ' Friedrich Alexander University, International Audio Laboratories Erlangen, Erlangen, Germany(See document for exact affiliation information.)']","['Disch, Sascha', ' van de Par, Steven', ' Niedermeier, Andreas', ' Burdiel Pérez, Elena', ' Berasategui Ceberio, Ane', ' Edler, Bernd']",Talk,Perception,Improved Psychoacoustic Model for Efficient Perceptual Audio Codecs
35,"The study presented here investigates and compares three different methods regarding their suitability for determining the relative openness of circumaural and supraaural headphone types, namely: (1) the Pressure Division Ratio (PDR), (2) the Headphone Selection Criterion (HPC), and the Acoustic Impedance Curve (AIC). Measurements were conducted by using a custom built acoustic impedance measuring tube and an artificial dummy head (KEMAR 45BC-12). The results show that the openness of headphones can be determined best by their low-frequency acoustic impedance curves. Estimations using PDR and HPC show large measurement variations especially in the low frequency range where the perceptual occlusion effect dominates. We introduce the Occlusion Index (OI) that characterizes well the acoustical “openness” and possibly can be used as a reliable indicator for the perceived headphone occlusion.","['Leibniz Universität Hannover, Hannover, Germany']","['Schlieper, Roman', ' Li, Song', ' Preihs, Stephan', ' Peissig, Jürgen']",Talk,Transducers,"Estimation of the Headphone ""Openness"" Based on Measurements of Pressure Division Ratio, Headphone Selection Criterion, and Acoustic Impedance"
36,"The outputs from ports used in common vented box loudspeakers are not linear with input level. With the goal of developing accurate modeling of vented boxes, a new method for estimation of nonlinear port parameters is shown. Acoustic mass and acoustic resistance parameters change with pressure in the enclosure and velocity in the port. Along with all nonlinear speaker parameters required for modeling, a practical way to characterize the changing acoustic mass and acoustic resistance is presented and tested with measurements. Using the new method, nonlinear port parameters are extracted for multiple box and port types.","['Harman International, Northridge, CA, USA', ' Harman International, Richardson, TX, USA', ' Samsung Research America, Valencia, CA USA(See document for exact affiliation information.)']","['Button, Doug', ' Lambert, Russ', ' Brunet, Pascal', ' Bunning, James']",Talk,Transducers,Characterization of Nonlinear Port Parameters in Loudspeaker Modeling
37,"The aim of the project was to create an application that allows users to simulate acoustic wave propagation according to given input parameters. The program was based on MATLAB environment and most parts of it were designed using k-Wave toolbox, the package operating on a finite-difference time-domain method calculations (FDTD). The application enables to create a heterogeneous medium and measure sound pressure distribution in a simulated scenario. Separate program module contains time and frequency analysis of obtained waveforms and gives the user a possibility to visualize the results. What is more, the software also computes directional diffusion coefficient d in accordance with ISO 17497-2:2012 of defined sound diffusers and makes one independent from complex measurements in an anechoic chamber.","['AGH University of Science and Technology, Kraków, Poland']","['Piotrowski, Kamil', ' Pilch, Adam']",Talk,Applications in Audio,The Sound Diffusion Simulation Software Basing on Finite-Difference Time-Domain Method
